"","DISCIPLINE","DISC_NAME","TOTTTD","AGE","MEAN_AGE","DEPENDS","MALE","MARITAL","CITIZ","MEAN_CITIZ","PHDCY","PHDMONTH","RACE","AMERIND","ASIAN","BLACK","HAWAIIAN","WHITE","HISPANIC","HISPORIG"
"168",1,"Life Sciences    ",9.41409993155366,35.08214,34.62594,0,1,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"169",1,"Life Sciences    ",4,25.49624,34.62594,0,0,0,1,0.62,2005,5,3,2,1,2,2,2,2,NA
"170",1,"Life Sciences    ",22.3264887063656,53.66324,34.62594,0,0,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"171",1,"Life Sciences    ",19,40.91513,34.62594,0,0,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"172",1,"Life Sciences    ",8,30.16701,34.62594,1,0,1,1,0.62,2005,5,9,2,2,2,2,1,1,3
"173",1,"Life Sciences    ",4.41409993155366,27.4141,34.62594,0,0,0,0,0.62,2005,5,10,2,2,2,2,1,2,NA
"174",1,"Life Sciences    ",7,28.32649,34.62594,0,1,0,0,0.62,2005,5,10,2,2,2,2,1,2,NA
"175",1,"Life Sciences    ",9,56.66324,34.62594,1,0,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"176",1,"Life Sciences    ",NA,27.83299,34.62594,0,1,0,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"177",1,"Life Sciences    ",7,28.66324,34.62594,0,0,1,0,0.62,2005,5,3,2,1,2,2,2,2,NA
"178",1,"Life Sciences    ",NA,32.83299,34.62594,2,1,1,1,0.62,2005,5,10,2,2,2,2,1,2,NA
"179",2,"Engineering      ",8.08487337440124,29.83299,31.97,NA,1,1,0,0.28,2004,8,3,2,1,2,2,2,2,NA
"180",2,"Engineering      ",6.08487337440124,28.33402,31.97,0,1,0,0,0.28,2004,8,3,2,1,2,2,2,2,NA
"181",2,"Engineering      ",7.41889117043138,29.83299,31.97,0,1,0,1,0.28,2004,8,10,2,2,2,2,1,2,NA
"182",2,"Engineering      ",14.4934976043805,36.66598,31.97,0,1,0,0,0.28,2004,8,3,2,1,2,2,2,2,NA
"183",2,"Engineering      ",10.0848733744012,33.08487,31.97,1,0,1,0,0.28,2004,8,3,2,1,2,2,2,2,NA
"184",2,"Engineering      ",5.2518822724162,27,31.97,0,1,0,1,0.28,2004,8,3,2,1,2,2,2,2,NA
"185",2,"Engineering      ",5.2518822724162,27.08487,31.97,0,1,1,0,0.28,2004,8,3,2,1,2,2,2,2,NA
"186",2,"Engineering      ",10.2518822724162,30.74812,31.97,0,1,1,0,0.28,2004,8,3,2,1,2,2,2,NA,NA
"187",2,"Engineering      ",6.2518822724162,29,31.97,0,1,0,1,0.28,2004,8,3,2,1,2,2,2,2,NA
"188",2,"Engineering      ",9.2518822724162,31.83299,31.97,0,0,1,1,0.28,2004,8,10,2,2,2,2,1,2,NA
"189",2,"Engineering      ",17.2518822724162,38.41889,31.97,0,1,1,1,0.28,2004,8,10,2,2,2,2,1,2,NA
"190",2,"Engineering      ",4.66598220396986,27.33402,31.97,0,1,0,1,0.28,2004,8,10,2,2,2,2,1,2,NA
"191",2,"Engineering      ",8.16700889801518,NA,31.97,NA,0,NA,0,0.28,2004,8,12,NA,NA,NA,NA,NA,2,NA
"192",2,"Engineering      ",8.08487337440124,29.08487,31.97,NA,1,1,0,0.28,2004,8,3,2,1,2,2,2,2,NA
"193",2,"Engineering      ",7.49349760438054,33.08487,31.97,3,1,1,0,0.28,2004,8,3,2,1,2,2,2,2,NA
